location_id,location_name
F2983B9308F,"Minto, NSW"
J8555H9597O,"Lidcombe, NSW"
M3812O7345Z,"Narellan, NSW"
H7758H4976E,"Molendinar, QLD"
B3548I3514W,"Ingleburn, NSW"
S9159I8213V,"Brookvale, NSW"
Y1379Y3300G,"Lilydale, VIC"
S7956F4963L,"Minchinbury, NSW"
O5609M3645H,"Minchinbury, NSW"
P4892X7089Z,"Lidcombe, NSW"
G5127G4757P,"Auburn, NSW"
C2134Q7361P,"Elderslie, NSW"
G2633F1819X,"Epping, VIC"
J5933J9665O,"Lidcombe, NSW"
P6389H6549K,"Warwick Farm, NSW"
P4170F9750O,"Minchinbury, NSW"
M3194R5725G,"Castle Hill, NSW"
K4046E5861Q,"Epping, VIC"
C5891F9379I,"Fairfield East, NSW"
C6584U7946H,"Minchinbury, NSW"
Z7881M6349L,"Chipping Norton, NSW"
D7557C3338W,"Molendinar, QLD"
J6910J1763H,"Blacktown, NSW"
A8040J5460P,"Artarmon, NSW"
C4974D6641J,"Mcgraths Hill, NSW"
U4778C3725Z,"Waitara, NSW"
M4691I2030M,"Moorebank, NSW"
R2630L8188Q,"Lilydale, VIC"
C1303G2424M,"Artarmon, NSW"
R1839U5075M,"Minchinbury, NSW"
C4777P8493R,"Berwick, VIC"
F7006Q4674Y,"Fairfield East, NSW"
X9374O2493W,"Glebe, NSW"
E8281Z5442A,"Minchinbury, NSW"
W6899T6858D,"Elderslie, NSW"
N5966J7788V,"Liverpool, NSW"
N4538F4530G,"Epping, VIC"
U9711E3325M,"Blacktown, NSW"
T3052K8280N,"Minchinbury, NSW"
R4879D5359I,"Tweed Heads South, NSW"
Y1043N5937S,"Warwick Farm, NSW"
T4062F7792F,"Leichhardt, NSW"
P3977U1040C,"Blacktown, NSW"
P9832G2130G,"Berwick, VIC"
D9190O4823O,"Croydon, NSW"
D3764I2836F,"Carlton, NSW"
I3978F5032G,"Five Dock, NSW"
Q6779P5053O,"Kirrawee, NSW"
U5528C2769D,"Upper Ferntree Gully, VIC"
D2726U5454R,"Concord, NSW"
O3901U8170C,"Minchinbury, NSW"
R3186N3904A,"Arncliffe, NSW"
V5603C5433L,"Berwick, VIC"
R1789S3495U,"Sylvania, NSW"
F3971R8519E,"Cabramatta, NSW"
A6692U7804X,"Windsor, NSW"
P5130M9244H,"Minchinbury, NSW"
Z1311G9593H,"Berwick, VIC"
A5942P9667A,"Rozelle, NSW"
N1400Y9869G,"Arncliffe, NSW"
U8351A1586T,"Carlton, NSW"
N5957C7981B,"Homebush, NSW"
E6610T7140V,"Lilydale, VIC"
X2268D8462E,"Blacktown, NSW"
E5295I8054Q,"Moorebank, NSW"
W2027M5527L,"Upper Ferntree Gully, VIC"
Z2300S8415Z,"Granville, NSW"
F7962V8521S,"Minchinbury, NSW"
T6264D3965J,"Liverpool, NSW"
X4310L2002U,"Minchinbury, NSW"
I2743O8816K,"Brookvale, NSW"
K2647G1799Q,"Lilydale, VIC"
I2468K7322G,"Penrith, NSW"
G8601I4540A,"Greenacre, NSW"
N3223M5437B,"Sydney, NSW"
C8183Q5409Z,"Southport, QLD"
