engine_id,cylinders,engine_size,fuel_type,fuel_consumption,transmission_type
Z3125I8094M,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
H2932Q7845B,4 cyl,"4 cyl, 2 L",Unleaded,7.1 L / 100 km,Manual
D4028B9556A,4 cyl,"4 cyl, 3 L",Diesel,8 L / 100 km,Automatic
G5288C7714E,5 cyl,"5 cyl, 2.4 L",Diesel,9.6 L / 100 km,Automatic
G5332H7548B,8 cyl,"8 cyl, 4.4 L",Diesel,8.7 L / 100 km,Automatic
L2454M3347X,4 cyl,"4 cyl, 3 L",Diesel,7.5 L / 100 km,Automatic
C4425U7735D,4 cyl,"4 cyl, 2 L",Diesel,7.5 L / 100 km,Automatic
A6724D5646C,4 cyl,"4 cyl, 2.7 L",Unleaded,10.9 L / 100 km,Automatic
K5666Q3491J,8 cyl,"8 cyl, 6 L",Premium,14.6 L / 100 km,Manual
V5689D9206B,4 cyl,"4 cyl, 1.4 L",Unleaded,5.4 L / 100 km,Automatic
M7377F1139W,4 cyl,"4 cyl, 2 L",Unleaded,7.2 L / 100 km,Automatic
U9908B9698G,8 cyl,"8 cyl, 4.5 L",Diesel,10.3 L / 100 km,Automatic
C2259U9610B,4 cyl,"4 cyl, 1.5 L",Unleaded,6.3 L / 100 km,Manual
W9921Y2298D,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
M7742O7156R,4 cyl,"4 cyl, 2 L",Hybrid,8 L / 100 km,Automatic
E7905Z1187W,4 cyl,"4 cyl, 1.5 L",Unleaded,6.4 L / 100 km,Automatic
L7062Z9708P,-,-,Unleaded,-,Automatic
L1115V4795J,4 cyl,"4 cyl, 1.2 L",Premium,6.4 L / 100 km,Automatic
J6564K9850M,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
G1729D1451Y,4 cyl,"4 cyl, 1.6 L",Diesel,4.7 L / 100 km,Automatic
S5672N6283G,4 cyl,"4 cyl, 2.8 L",Diesel,9.9 L / 100 km,Automatic
E7080K4471O,4 cyl,"4 cyl, 2 L",Premium,7.5 L / 100 km,Automatic
D1612H9576N,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
Y9784E7207B,-,-,Diesel,-,Automatic
G1158X6474I,5 cyl,"5 cyl, 3.2 L",Diesel,9.6 L / 100 km,Automatic
F3202U5307X,4 cyl,"4 cyl, 1.6 L",Premium,7.3 L / 100 km,Automatic
I5364O1889Y,4 cyl,"4 cyl, 3 L",Diesel,8 L / 100 km,Manual
C3037L1464N,4 cyl,"4 cyl, 2 L",Premium,6 L / 100 km,Automatic
Q5579R4484I,4 cyl,"4 cyl, 3 L",Diesel,10.8 L / 100 km,Manual
R1160F6128M,6 cyl,"6 cyl, 3 L",Diesel,6.2 L / 100 km,Automatic
O3843T2780O,4 cyl,"4 cyl, 2 L",Premium,6.7 L / 100 km,Automatic
T2299M6542M,4 cyl,"4 cyl, 1.6 L",Unleaded,7.1 L / 100 km,Automatic
E1337N8004L,5 cyl,"5 cyl, 3.2 L",Diesel,8.5 L / 100 km,Automatic
M3732V2537T,4 cyl,"4 cyl, 2.5 L",Diesel,9.2 L / 100 km,Manual
O5772Q3143H,-,-,-,-,-
Y6773T2945X,4 cyl,"4 cyl, 2 L",Premium,7.6 L / 100 km,Automatic
